Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
EAGLE,1.0,,0.007,62,934,,0,2280,2280,14.695943,Tubing Pressure,5675.15115990924
EAGLE,2.0,,0.077,288,1057,,0,2200,2200,14.695943,Tubing Pressure,5432.6218803769
EAGLE,3.0,,0.077,288,1057,,0.822857142857143,2150,2150,14.695943,Tubing Pressure,5381.8233387018
EAGLE,4.0,,0.126,306,1179,,1.64571428571429,2080,2080,14.695943,Tubing Pressure,5327.7925075225
EAGLE,5.0,,0.143,455,1142,,2.46857142857143,2060,2060,14.695943,Tubing Pressure,5228.96433125385
EAGLE,6.0,,0.167,493,1048,,3.29142857142857,2025,2025,14.695943,Tubing Pressure,5153.11849104955
EAGLE,7.0,,0.268,711,1213,,4.11428571428571,1970,1970,14.695943,Tubing Pressure,5074.92186832948
EAGLE,8.0,,0.313,806,1037,,4.93714285714286,1955,1955,14.695943,Tubing Pressure,4987.36627822454
EAGLE,9.0,,0.34,988,870,,5.76,1942,1942,14.695943,Tubing Pressure,4888.14982246644
EAGLE,10.0,,0.258,737,526,,6.58285714285714,2000,2000,14.695943,Tubing Pressure,4857.78318705167
EAGLE,11.0,,0.341,945,574,,7.40571428571429,1970,1970,14.695943,Tubing Pressure,4810.8094303477
EAGLE,12.0,,0.337,889,746,,8.22857142857143,1950,1950,14.695943,Tubing Pressure,4867.84741841631
EAGLE,13.0,,0.347,911,641,,9.05142857142857,1935,1935,14.695943,Tubing Pressure,4808.11139304119
EAGLE,14.0,,0.355,1008,551,,9.87428571428571,1915,1915,14.695943,Tubing Pressure,4737.04839417323
EAGLE,15.0,,0.357,993,438,,10.6971428571429,1890,1890,14.695943,Tubing Pressure,4662.77857088227
EAGLE,16.0,,0.363,1010,444,,11.52,1870,1870,14.695943,Tubing Pressure,4643.56202104924
EAGLE,17.0,,0.374,1249,386.744,,13.1657142857143,1852.52252252252,1852.52252252252,14.695943,Tubing Pressure,4531.96809367598
EAGLE,19.0,,0.374,1249,386.744,,13.9885714285714,1843.78378378378,1843.78378378378,14.695943,Tubing Pressure,4575.40155488265
EAGLE,20.0,,0.374,1028.956,371.741,,14.8114285714286,1835.04504504505,1835.04504504505,14.695943,Tubing Pressure,4571.76988746129
EAGLE,21.0,,0.374,1066.88,356.738,,15.6342857142857,1826.30630630631,1826.30630630631,14.695943,Tubing Pressure,4552.67175145613
EAGLE,22.0,,0.374,1025.622,328.399,,16.4571428571429,1817.56756756757,1817.56756756757,14.695943,Tubing Pressure,4532.49007323042
EAGLE,23.0,,0.356,977.696,330.066,,17.28,1808.82882882883,1808.82882882883,14.695943,Tubing Pressure,4528.39311747015
EAGLE,24.0,,0.355,1024.788,368.407,,18.1028571428571,1800.09009009009,1800.09009009009,14.695943,Tubing Pressure,4535.13694710698
EAGLE,25.0,,0.355,1035.207,306.728,,18.9257142857143,1791.35135135135,1791.35135135135,14.695943,Tubing Pressure,4494.0820544245
EAGLE,26.0,,0.353,1038.541,318.397,,19.7485714285714,1782.61261261261,1782.61261261261,14.695943,Tubing Pressure,4491.11819296321
EAGLE,27.0,,0.352,1027.706,290.058,,20.5714285714286,1773.87387387387,1773.87387387387,14.695943,Tubing Pressure,4468.11057113237
EAGLE,28.0,,0.351,1007.285,275.055,,21.3942857142857,1765.13513513514,1765.13513513514,14.695943,Tubing Pressure,4452.48424921153
EAGLE,29.0,,0.349,1007.285,288.391,,22.2171428571429,1756.3963963964,1756.3963963964,14.695943,Tubing Pressure,4450.94530836245
EAGLE,30.0,,0.348,978.946,285.057,,23.04,1747.65765765766,1747.65765765766,14.695943,Tubing Pressure,4442.36305760439
EAGLE,31.0,,0.347,823.498,263.386,,23.8628571428571,1738.91891891892,1738.91891891892,14.695943,Tubing Pressure,4436.04153545636
EAGLE,32.0,,0.345,991.865,273.388,,24.6857142857143,1730.18018018018,1730.18018018018,14.695943,Tubing Pressure,4417.3953853935
EAGLE,33.0,,0.344,969.361,275.055,,25.5085714285714,1721.44144144144,1721.44144144144,14.695943,Tubing Pressure,4411.15323451571
EAGLE,34.0,,0.342,921.851,255.051,,26.3314285714286,1712.7027027027,1712.7027027027,14.695943,Tubing Pressure,4394.66614549704
EAGLE,35.0,,0.34,928.519,256.718,,27.1542857142857,1703.96396396396,1703.96396396396,14.695943,Tubing Pressure,4386.31280100263
EAGLE,36.0,,0.338,953.107,231.713,,27.9771428571429,1695.22522522523,1695.22522522523,14.695943,Tubing Pressure,4361.00655563663
EAGLE,37.0,,0.337,876.842,246.716,,28.8,1686.48648648649,1686.48648648649,14.695943,Tubing Pressure,4367.35972398982
EAGLE,38.0,,0.335,1074.798,220.044,,29.6228571428571,1677.74774774775,1677.74774774775,14.695943,Tubing Pressure,4330.86358596901
EAGLE,39.0,,0.335,978.112,246.716,,30.4457142857143,1669.00900900901,1669.00900900901,14.695943,Tubing Pressure,4341.82939683077
EAGLE,40.0,,0.332,929.353,208.375,,31.2685714285714,1660.27027027027,1660.27027027027,14.695943,Tubing Pressure,4313.36841638731
EAGLE,41.0,,0.331,944.772,260.052,,32.0914285714286,1651.53153153153,1651.53153153153,14.695943,Tubing Pressure,4334.35140932719
