Company=GREAT BEAR PETROLEUM
Well=GB_ALCOR_#1
Field=WILDCAT
County=NORTH SLOPE
State=ALASKA
Country=NORTH SLOPE
Dip Summary From 4550.80 to 4575.80 Metres
Dip Confidence :
   E=Excellent(dip quality=1), G=Good(dip quality=2)
F=Fair(dip quality=3), P=Poor(dip quality=4 or 5)
Depth,Class,True Mag,True Azi,Quality,Caliper,Conf,DipType,Gamma Ray,Devi,Hazi
4562.3755,BED,    1.21,   48.20,1,8.76,E,Soft Sediment Deformation,48.12,0.52,123.06
4562.7222,BED,    1.16,   51.80,1,8.71,E,Soft Sediment Deformation,50.80,0.52,123.00
4563.0107,BED,    1.21,  197.60,1,8.73,E,Bed Boundary,56.15,0.52,122.93
4563.4663,BED,    2.31,   17.60,1,8.78,E,Bed Boundary,63.89,0.52,122.92
4563.6616,BED,    1.16,   19.40,1,8.79,E,Bed Boundary,66.42,0.52,122.93
4564.1714,BED,    2.30,   93.20,1,8.83,E,Bed Boundary,69.23,0.52,122.93
4564.5293,BED,    2.31,   91.40,1,8.81,E,Bed Boundary,67.58,0.52,123.07
4564.6704,BED,    2.36,   93.20,1,8.79,E,Bed Boundary,66.57,0.52,123.14
4565.6138,BED,    3.46,  104.00,1,8.80,E,Bed Boundary,73.93,0.52,123.30
4565.9502,BED,    2.30,   87.80,1,8.86,E,Bed Boundary,79.92,0.52,123.23
4567.6118,FRAC,   45.19,  239.00,2,8.79,G,Natural Fracture,91.16,0.52,123.08
4569.0415,BED,    3.47,  215.60,1,8.75,E,Bed Boundary,92.49,0.52,123.56
4569.2798,BED,    6.97,  221.00,1,8.74,E,Bed Boundary,90.67,0.52,123.62
4569.3696,FRAC,   61.47,  251.60,3,8.74,F,Natural Fracture,89.25,0.52,123.63
4570.3101,BED,    1.16,   28.40,1,8.73,E,Bed Boundary,77.69,0.52,123.61
4570.4946,BED,    2.32,   28.40,1,8.73,E,Bed Boundary,78.88,0.52,123.65
4570.8633,BED,    2.32,   23.00,1,8.75,E,Bed Boundary,75.62,0.52,123.54
4571.4814,BED,    3.48,   17.60,1,8.72,E,Bed Boundary,58.84,0.52,123.52
4571.8721,BED,    2.32,   15.80,1,8.72,E,Bed Boundary,44.14,0.52,123.69
4572.0566,BED,    2.37,  356.00,1,8.73,E,Bed Boundary,38.62,0.52,123.72
4572.2734,BED,    2.37,  354.20,1,8.72,E,Bed Boundary,38.05,0.52,123.78
4572.6313,BED,    1.16,   24.80,1,8.70,E,Bed Boundary,36.48,0.52,123.89
4573.0977,BED,    2.33,   30.20,1,8.70,E,Bed Boundary,39.14,0.52,123.90
4573.4990,BED,    2.38,   44.60,1,8.68,E,Bed Boundary,43.45,0.52,123.97
4574.1279,BED,    1.16,   30.20,1,8.72,E,Bed Boundary,54.30,0.52,124.25
4574.6377,BED,    1.16,   33.80,2,8.71,G,Bed Boundary,58.89,0.52,124.20
4574.9634,BED,    1.21,    6.80,2,8.72,G,Bed Boundary,59.67,0.52,124.26
4575.2344,BED,    1.16,    6.80,2,8.71,G,Bed Boundary,59.64,0.52,124.41
4575.3643,BED,    1.16,    6.80,2,8.71,G,Bed Boundary,59.52,0.52,124.51
4575.8091,BED,    1.16,    5.00,2,8.73,G,Bed Boundary,53.00,0.52,124.68
4576.0044,BED,    1.16,    3.20,2,8.73,G,Bed Boundary,48.95,0.52,124.85
4576.3730,BED,    1.16,    3.20,2,8.76,G,Bed Boundary,41.47,0.52,124.96
4576.8286,BED,    1.16,    6.80,2,8.77,G,Bed Boundary,38.66,0.52,125.25
