Lease,Measured Depth (ft),TVD (ft)
HAWK,0,0
HAWK,151,150.9998
HAWK,246,245.9981
HAWK,340,339.9936
HAWK,435,434.9901
HAWK,529,528.9882
HAWK,717,716.9771
HAWK,812,811.9719
HAWK,907,906.9689
HAWK,1001,1000.9503
HAWK,1095,1094.9004
HAWK,1189,1188.7982
HAWK,1284,1283.6251
HAWK,1378,1377.436
HAWK,1473,1472.1919
HAWK,1567,1565.7845
HAWK,1661,1659.2475
HAWK,1756,1753.6008
HAWK,1850,1846.8006
HAWK,1944,1939.8178
HAWK,2039,2033.6136
HAWK,2133,2126.3231
HAWK,2227,2219.0434
HAWK,2321,2311.7812
HAWK,2416,2405.5365
HAWK,2510,2498.3943
HAWK,2605,2592.2097
HAWK,2699,2684.8808
HAWK,2793,2777.491
HAWK,2888,2871.0408
HAWK,2982,2963.5711
HAWK,3076,3056.1072
HAWK,3171,3149.6739
HAWK,3265,3242.3451
HAWK,3359,3335.079
HAWK,3454,3428.8664
HAWK,3502,3476.2709
HAWK,3629,3601.7385
HAWK,3724,3695.6278
HAWK,3818,3788.5023
HAWK,3912,3881.349
HAWK,4007,3974.9633
HAWK,4101,4067.3937
HAWK,4195,4159.848
HAWK,4290,4253.2295
HAWK,4384,4345.6032
HAWK,4478,4438.0559
HAWK,4573,4531.5748
HAWK,4667,4624.1947
HAWK,4761,4716.6011
HAWK,4856,4809.6555
HAWK,4950,4901.7072
HAWK,5044,4993.8414
HAWK,5139,5087.0734
HAWK,5234,5180.4822
HAWK,5328,5272.8749
HAWK,5422,5365.1323
HAWK,5517,5458.3837
HAWK,5611,5550.7094
HAWK,5706,5644.073
HAWK,5800,5736.3655
HAWK,5894,5828.5788
HAWK,5988,5920.8456
HAWK,6082,6013.1636
HAWK,6177,6106.5538
HAWK,6271,6199.1267
HAWK,6366,6292.9107
HAWK,6460,6385.8537
HAWK,6554,6478.9006
HAWK,6648,6572.0702
HAWK,6743,6666.3555
HAWK,6837,6759.7791
HAWK,6931,6853.3906
HAWK,7025,6946.3479
HAWK,7120,7037.006
HAWK,7214,7122.4948
HAWK,7309,7205.9255
HAWK,7403,7284.5239
HAWK,7463,7331.3163
HAWK,7498,7357.1481
HAWK,7537,7384.022
HAWK,7630,7439.129
HAWK,7662,7455.018
HAWK,7725,7480.828
HAWK,7819,7505.6668
HAWK,7823.1,7506.3929
HAWK,7914,7515.2162
HAWK,8009,7516.6753
HAWK,8103,7514.6979
HAWK,8197,7510.2689
HAWK,8291,7507.9286
HAWK,8386,7507.024
HAWK,8480,7504.8316
HAWK,8575,7500.9767
HAWK,8669,7498.5972
HAWK,8764,7495.6442
HAWK,8858,7490.102
HAWK,8952,7486.3619
HAWK,9047,7484.5133
HAWK,9141,7484.4477
HAWK,9235,7486.285
HAWK,9330,7487.885
HAWK,9424,7488.5002
HAWK,9518,7486.384
HAWK,9612,7481.6774
HAWK,9707,7476.8129
HAWK,9801,7471.2054
HAWK,9896,7464.8097
HAWK,9990,7459.022
HAWK,10084,7454.3067
HAWK,10179,7450.2623
HAWK,10273,7447.8423
HAWK,10368,7446.3833
HAWK,10462,7444.3655
HAWK,10557,7441.8536
HAWK,10651,7439.7291
HAWK,10746,7438.8918
HAWK,10840,7435.7914
HAWK,10934,7432.1175
HAWK,11029,7430.0782
HAWK,11124,7430.7745
HAWK,11218,7434.4158
HAWK,11312,7435.2032
HAWK,11407,7432.6252
HAWK,11502,7429.3926
HAWK,11596,7426.62
HAWK,11690,7424.11
HAWK,11785,7421.8967
HAWK,11879,7419.0822
HAWK,11972,7416.6559
HAWK,12065,7415.2276
HAWK,12158,7409.7858
HAWK,12251,7402.9255
HAWK,12344,7401.684
HAWK,12437,7403.8994
HAWK,12531,7405.9254
HAWK,12624,7406.5016
HAWK,12719,7404.4291
HAWK,12812,7401.6863
HAWK,12906,7398.2987
HAWK,13001,7394.8401
HAWK,13095,7392.2893
HAWK,13190,7388.725
HAWK,13284,7384.764
HAWK,13379,7381.5976
HAWK,13473,7378.6122
HAWK,13568,7375.8519
HAWK,13663,7372.7682
HAWK,13758,7368.9557
HAWK,13852,7365.003
HAWK,13947,7361.0083
HAWK,14041,7357.49
HAWK,14135,7354.5127
HAWK,14203,7352.5368
HAWK,14324,7349.0211
HAWK,14419,7346.1448
HAWK,14513,7342.9707
HAWK,14608,7338.4206
HAWK,14702,7333.2469
HAWK,14797,7328.9616
HAWK,14891,7327.3457
HAWK,14986,7328.0836
HAWK,15080,7328.9941
HAWK,15175,7329.4749
HAWK,15269,7325.9876
HAWK,15363,7319.6911
HAWK,15458,7315.4305
HAWK,15553,7313.1011
HAWK,15647,7311.2637
HAWK,15741,7308.7375
HAWK,15835,7305.17
HAWK,15930,7301.1338
HAWK,16024,7296.5009
HAWK,16118,7292.9499
HAWK,16213,7290.0485
HAWK,16307,7286.4646
HAWK,16402,7284.2181
HAWK,16496,7283.3158
HAWK,16590,7279.8208
HAWK,16685,7275.0871
HAWK,16779,7272.2738
HAWK,16873,7270.8709
HAWK,16968,7269.1628
HAWK,17062,7265.3084
HAWK,17157,7263.5251
HAWK,17251,7264.8294
HAWK,17345,7266.7818
HAWK,17440,7269.1526
HAWK,17534,7267.28
HAWK,17628,7260.6574
HAWK,17723,7255.1276
HAWK,17817,7251.7485
HAWK,17912,7248.7395
HAWK,18006,7245.4671
HAWK,18100,7241.9734
HAWK,18195,7238.4094
HAWK,18290,7234.1901
HAWK,18384,7228.9757
HAWK,18479,7224.831
HAWK,18530,7224.0699
HAWK,18598,7223.8088
