Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
OSPREY,1.0,,0.145,504.39,718,,2064.695943,14.695943,2064.695943,14.695943,Casing Pressure,5050.15979274873
OSPREY,2.0,,0.186,564.76,922,,1989.695943,14.695943,1989.695943,14.695943,Casing Pressure,5009.59983874506
OSPREY,3.0,,0.231,653.51,753,,1864.695943,14.695943,1864.695943,14.695943,Casing Pressure,4795.99197208099
OSPREY,4.0,,0.268,740.71,700,,1814.695943,14.695943,1814.695943,14.695943,Casing Pressure,4696.62602254999
OSPREY,5.0,,0.261,678.06,530,,1714.695943,14.695943,1714.695943,14.695943,Casing Pressure,4546.99005901862
OSPREY,6.0,,0.329,789.29,580,,2064.695943,14.695943,2064.695943,14.695943,Casing Pressure,4885.84086915207
OSPREY,7.0,,0.303,915.05,700,,1284.695943,14.695943,1284.695943,14.695943,Casing Pressure,4106.25757538787
OSPREY,8.0,,0.26,797.53,590,,1184.695943,14.695943,1184.695943,14.695943,Casing Pressure,3994.16763223365
OSPREY,9.0,,0.252,777.06,530,,1064.695943,14.695943,1064.695943,14.695943,Casing Pressure,3852.78496473104
OSPREY,10.0,,0.236,710.58,429,,994.695943,14.695943,994.695943,14.695943,Casing Pressure,3753.50549057154
OSPREY,11.0,,0.223,675.5,380,,914.695943,14.695943,914.695943,14.695943,Casing Pressure,3657.53955126813
OSPREY,12.0,,0.21,635.51,343,,854.695943,14.695943,854.695943,14.695943,Casing Pressure,3588.62966524606
OSPREY,13.0,,0.237,705.49,360,,724.695943,14.695943,724.695943,14.695943,Casing Pressure,3444.76310675349
OSPREY,14.0,,0.208,638.78,332,,664.695943,14.695943,664.695943,14.695943,Casing Pressure,3387.84455490097
OSPREY,15.0,,0.247,735.32,392,,504.695943,14.695943,504.695943,14.695943,Casing Pressure,3202.60161787229
OSPREY,16.0,,0.204,634.31,338,,454.695943,14.695943,454.695943,14.695943,Casing Pressure,3162.1561677822
OSPREY,17.0,,0.281,818.35,455,,254.695943,14.695943,254.695943,14.695943,Casing Pressure,2833.1459455964
OSPREY,18.0,,0.233,692.73,406,,214.695943,14.695943,214.695943,14.695943,Casing Pressure,2805.95902139312
OSPREY,19.0,,0.22,642.89,340,,174.695943,14.695943,174.695943,14.695943,Casing Pressure,2743.05165213412
OSPREY,20.0,,0.211,604.32,302,,154.695943,14.695943,154.695943,14.695943,Casing Pressure,2721.72155941031
